CATEGORIE,DATE,QUART,PDQ,X,Y,LAT,LONG
Introduction,20150115,nuit,27,293789.507,5045491.125,45.5492463756,-73.641011762
Introduction,20150115,nuit,30,295158.476,5049098.762,45.581729309,-73.6235505174
Introduction,20150115,nuit,30,297187.561,5046653.753,45.5597535231,-73.5975109367
Introduction,20150115,nuit,31,295863.067,5044271.196,45.5382987244,-73.6144333944
Introduction,20150115,soir,33,295460.916,5043059.072,45.5273863177,-73.6195596323
Introduction,20150115,soir,35,297354.716,5044669.134,45.5418970498,-73.595339583
Introduction,20150115,soir,35,297354.716,5044669.134,45.5418970498,-73.595339583
Introduction,20150115,nuit,38,298876.045,5040798.406,45.5070813336,-73.575811631
Introduction,20150115,soir,38,298330.749,5041882.262,45.5168294663,-73.5828043335
Introduction,20150115,jour,38,298001.936,5043129.094,45.5280458175,-73.5870303261
Introduction,20150115,soir,38,299130.23,5040703.565,45.5062300273,-73.5725576125
Introduction,20150115,soir,39,293865.906,5049505.5,45.5853701364,-73.640123104
Introduction,20150115,jour,46,299400.25,5052904.0,45.6160157322,-73.5692368058
Introduction,20150115,jour,48,300270.679,5049217.214,45.5828472436,-73.5580417618
Introduction,20150115,soir,48,301755.542,5049999.053,45.5898905457,-73.5390186091
Introduction,20150115,jour,49,305668.19,5056811.337,45.6511952621,-73.488860906
Introduction,20150115,jour,49,305237.631,5058505.687,45.6664417398,-73.4943835611
Introduction,20150116,jour,3,280956.625,5040891.5,45.5075366434,-73.8051373362
Introduction,20150116,soir,8,290706.313,5033127.5,45.4379379583,-73.6801431137
